bacterial infections and mycoses,c01
sjogren's syndrome,c07.465.815.929.669
stomatitis,c07.465.864
stevens-johnson syndrome,c07.465.864.500
"stomatitis, aphthous",c07.465.864.750
"stomatitis, denture",c07.465.864.875
"stomatitis, herpetic",c07.465.864.937
vesicular stomatitis,c07.465.864.968
tongue diseases,c07.465.910
glossalgia,c07.465.910.280
glossitis,c07.465.910.363
"glossitis, benign migratory",c07.465.910.363.447
glossoptosis,c07.465.910.411
macroglossia,c07.465.910.460
tongue neoplasms,c07.465.910.470
"tongue, fissured",c07.465.910.708
"tongue, hairy",c07.465.910.791
"tuberculosis, oral",c07.465.943
pharyngeal diseases,c07.550
lemierre syndrome,c07.550.174
nasopharyngeal diseases,c07.550.350
nasopharyngeal neoplasms,c07.550.350.650
nasopharyngeal carcinoma,c07.550.350.650.500
nasopharyngitis,c07.550.350.700
pharyngeal neoplasms,c07.550.745
hypopharyngeal neoplasms,c07.550.745.436
nasopharyngeal neoplasms,c07.550.745.650
nasopharyngeal carcinoma,c07.550.745.650.500
oropharyngeal neoplasms,c07.550.745.671
tonsillar neoplasms,c07.550.745.671.800
pharyngitis,c07.550.781
nasopharyngitis,c07.550.781.500
retropharyngeal abscess,c07.550.781.625
tonsillitis,c07.550.781.750
peritonsillar abscess,c07.550.781.750.500
velopharyngeal insufficiency,c07.550.966
stomatognathic system abnormalities,c07.650
maxillofacial abnormalities,c07.650.500
dentofacial deformities,c07.650.500.229
jaw abnormalities,c07.650.500.460
cleft palate,c07.650.500.460.185
micrognathism,c07.650.500.460.457
pierre robin syndrome,c07.650.500.460.606
prognathism,c07.650.500.460.655
retrognathia,c07.650.500.460.827
mouth abnormalities,c07.650.525
cleft lip,c07.650.525.164
cleft palate,c07.650.525.185
"fibromatosis, gingival",c07.650.525.304
macrostomia,c07.650.525.480
microstomia,c07.650.525.520
velopharyngeal insufficiency,c07.650.525.955
tooth abnormalities,c07.650.800
anodontia,c07.650.800.100
dens in dente,c07.650.800.250
dental enamel hypoplasia,c07.650.800.255
amelogenesis imperfecta,c07.650.800.255.500
dentin dysplasia,c07.650.800.260
dentinogenesis imperfecta,c07.650.800.270
diastema,c07.650.800.320
fused teeth,c07.650.800.370
odontodysplasia,c07.650.800.600
"tooth, supernumerary",c07.650.800.850
temporomandibular joint disorders,c07.678
temporomandibular joint dysfunction syndrome,c07.678.949
tooth diseases,c07.793
bruxism,c07.793.099
sleep bruxism,c07.793.099.500
dental deposits,c07.793.208
dental calculus,c07.793.208.250
dental plaque,c07.793.208.377
smear layer,c07.793.208.688
dental leakage,c07.793.221
dental pulp diseases,c07.793.237
dental pulp calcification,c07.793.237.252
dental pulp exposure,c07.793.237.283
dental pulp necrosis,c07.793.237.315
"dentin, secondary",c07.793.237.378
pulpitis,c07.793.237.820
"tooth, nonvital",c07.793.237.910
dentin sensitivity,c07.793.266
"fluorosis, dental",c07.793.330
"focal infection, dental",c07.793.348
hypercementosis,c07.793.422
malocclusion,c07.793.494
"dental occlusion, traumatic",c07.793.494.293
"malocclusion, angle class i",c07.793.494.610
"malocclusion, angle class ii",c07.793.494.630
overbite,c07.793.494.630.500
"malocclusion, angle class iii",c07.793.494.650
open bite,c07.793.494.825
"mouth, edentulous",c07.793.597
"jaw, edentulous",c07.793.597.425
"jaw, edentulous, partially",c07.793.597.425.450
tooth abnormalities,c07.793.700
anodontia,c07.793.700.100
dens in dente,c07.793.700.250
dental enamel hypoplasia,c07.793.700.255
amelogenesis imperfecta,c07.793.700.255.500
dentin dysplasia,c07.793.700.260
dentinogenesis imperfecta,c07.793.700.270
diastema,c07.793.700.320
fused teeth,c07.793.700.370
odontodysplasia,c07.793.700.600
"tooth, supernumerary",c07.793.700.850
tooth ankylosis,c07.793.710
tooth demineralization,c07.793.720
dental caries,c07.793.720.210
dental fissures,c07.793.720.210.220
root caries,c07.793.720.210.650
tooth discoloration,c07.793.735
"tooth eruption, ectopic",c07.793.790
tooth wear,c07.793.818
tooth abrasion,c07.793.818.124
tooth attrition,c07.793.818.249
tooth erosion,c07.793.818.500
tooth injuries,c07.793.850
tooth avulsion,c07.793.850.725
tooth fractures,c07.793.850.750
cracked tooth syndrome,c07.793.850.750.300
tooth loss,c07.793.870
tooth resorption,c07.793.901
root resorption,c07.793.901.653
"tooth, impacted",c07.793.905
"tooth, unerupted",c07.793.915
toothache,c07.793.929
respiratory tract diseases,c08
bronchial diseases,c08.127
asthma,c08.127.108
"asthma, aspirin-induced",c08.127.108.054
"asthma, exercise-induced",c08.127.108.110
"asthma, occupational",c08.127.108.495
status asthmaticus,c08.127.108.880
bronchial fistula,c08.127.196
bronchial hyperreactivity,c08.127.210
bronchial neoplasms,c08.127.265
bronchial spasm,c08.127.321
bronchiectasis,c08.127.384
kartagener syndrome,c08.127.384.500
bronchitis,c08.127.446
bronchiolitis,c08.127.446.135
bronchiolitis obliterans,c08.127.446.135.140
cryptogenic organizing pneumonia,c08.127.446.135.140.200
"bronchiolitis, viral",c08.127.446.135.321
"bronchitis, chronic",c08.127.446.567
bronchogenic cyst,c08.127.480
bronchopneumonia,c08.127.509
tracheobronchomalacia,c08.127.719
bronchomalacia,c08.127.719.500
tracheobronchomegaly,c08.127.930
ciliary motility disorders,c08.200
kartagener syndrome,c08.200.531
"granuloma, respiratory tract",c08.280
"granuloma, laryngeal",c08.280.400
laryngeal diseases,c08.360
"granuloma, laryngeal",c08.360.232
laryngeal edema,c08.360.313
laryngeal neoplasms,c08.360.369
laryngeal nerve injuries,c08.360.424
recurrent laryngeal nerve injuries,c08.360.424.500
laryngitis,c08.360.535
croup,c08.360.535.365
laryngocele,c08.360.549
laryngomalacia,c08.360.563
laryngopharyngeal reflux,c08.360.577
laryngostenosis,c08.360.591
supraglottitis,c08.360.840
"tuberculosis, laryngeal",c08.360.860
vocal cord dysfunction,c08.360.895
laryngismus,c08.360.895.500
vocal cord paralysis,c08.360.931
voice disorders,c08.360.940
aphonia,c08.360.940.160
dysphonia,c08.360.940.325
hoarseness,c08.360.940.490
lung diseases,c08.381
acute chest syndrome,c08.381.074
alpha 1-antitrypsin deficiency,c08.381.112
"cystic adenomatoid malformation of lung, congenital",c08.381.150
cystic fibrosis,c08.381.187
hemoptysis,c08.381.348
hepatopulmonary syndrome,c08.381.385
"hypertension, pulmonary",c08.381.423
familial primary pulmonary hypertension,c08.381.423.300
persistent fetal circulation syndrome,c08.381.423.694
lung abscess,c08.381.450
"lung diseases, fungal",c08.381.472
blastomycosis,c08.381.472.350
"pneumonia, pneumocystis",c08.381.472.700
pulmonary aspergillosis,c08.381.472.850
"aspergillosis, allergic bronchopulmonary",c08.381.472.850.500
invasive pulmonary aspergillosis,c08.381.472.850.750
"lung diseases, interstitial",c08.381.483
"alveolitis, extrinsic allergic",c08.381.483.125
bird fancier's lung,c08.381.483.125.125
farmer's lung,c08.381.483.125.365
silo filler's disease,c08.381.483.125.682
trichosporonosis,c08.381.483.125.841
anti-glomerular basement membrane disease,c08.381.483.156
"histiocytosis, langerhans-cell",c08.381.483.375
eosinophilic granuloma,c08.381.483.375.500
idiopathic interstitial pneumonias,c08.381.483.487
cryptogenic organizing pneumonia,c08.381.483.487.249
idiopathic pulmonary fibrosis,c08.381.483.487.500
pneumoconiosis,c08.381.483.581
anthracosis,c08.381.483.581.062
anthracosilicosis,c08.381.483.581.062.500
asbestosis,c08.381.483.581.125
berylliosis,c08.381.483.581.225
byssinosis,c08.381.483.581.275
caplan syndrome,c08.381.483.581.300
siderosis,c08.381.483.581.750
silicosis,c08.381.483.581.760
anthracosilicosis,c08.381.483.581.760.125
silicotuberculosis,c08.381.483.581.760.750
radiation pneumonitis,c08.381.483.675
"sarcoidosis, pulmonary",c08.381.483.725
granulomatosis with polyangiitis,c08.381.483.950
"lung diseases, obstructive",c08.381.495
asthma,c08.381.495.108
bronchitis,c08.381.495.146
bronchiolitis,c08.381.495.146.135
bronchiolitis obliterans,c08.381.495.146.135.140
cryptogenic organizing pneumonia,c08.381.495.146.135.140.200
"bronchiolitis, viral",c08.381.495.146.135.321
"bronchitis, chronic",c08.381.495.146.567
"pulmonary disease, chronic obstructive",c08.381.495.389
"bronchitis, chronic",c08.381.495.389.500
pulmonary emphysema,c08.381.495.389.750
"lung diseases, parasitic",c08.381.517
"echinococcosis, pulmonary",c08.381.517.314
lung injury,c08.381.520
acute lung injury,c08.381.520.500
transfusion-related acute lung injury,c08.381.520.500.500
meconium aspiration syndrome,c08.381.520.687
pneumoconiosis,c08.381.520.702
anthracosis,c08.381.520.702.062
anthracosilicosis,c08.381.520.702.062.500
asbestosis,c08.381.520.702.125
berylliosis,c08.381.520.702.225
byssinosis,c08.381.520.702.275
caplan syndrome,c08.381.520.702.300
siderosis,c08.381.520.702.750
silicosis,c08.381.520.702.760
anthracosilicosis,c08.381.520.702.760.125
silicotuberculosis,c08.381.520.702.760.750
radiation pneumonitis,c08.381.520.734
ventilator-induced lung injury,c08.381.520.750
bronchopulmonary dysplasia,c08.381.520.750.500
lung neoplasms,c08.381.540
"carcinoma, bronchogenic",c08.381.540.140
"carcinoma, non-small-cell lung",c08.381.540.140.500
small cell lung carcinoma,c08.381.540.140.750
multiple pulmonary nodules,c08.381.540.148
pancoast syndrome,c08.381.540.734
pulmonary sclerosing hemangioma,c08.381.540.867
"lung, hyperlucent",c08.381.570
"plasma cell granuloma, pulmonary",c08.381.600
pneumonia,c08.381.677
bronchopneumonia,c08.381.677.127
healthcare-associated pneumonia,c08.381.677.300
pleuropneumonia,c08.381.677.473
"pneumonia, aspiration",c08.381.677.529
"pneumonia, lipid",c08.381.677.529.612
"pneumonia, bacterial",c08.381.677.540
chlamydial pneumonia,c08.381.677.540.249
"pneumonia of calves, enzootic",c08.381.677.540.300
"pneumonia of swine, mycoplasmal",c08.381.677.540.400
"pneumonia, mycoplasma",c08.381.677.540.500
"pneumonia, pneumococcal",c08.381.677.540.550
"pneumonia, rickettsial",c08.381.677.540.600
"pneumonia, staphylococcal",c08.381.677.540.620
"pneumonia, necrotizing",c08.381.677.608
"pneumonia, pneumocystis",c08.381.677.675
"pneumonia, ventilator-associated",c08.381.677.800
"pneumonia, viral",c08.381.677.807
pulmonary alveolar proteinosis,c08.381.719
pulmonary atelectasis,c08.381.730
middle lobe syndrome,c08.381.730.542
pulmonary edema,c08.381.742
pulmonary embolism,c08.381.746
pulmonary infarction,c08.381.746.500
pulmonary eosinophilia,c08.381.750
pulmonary fibrosis,c08.381.765
idiopathic pulmonary fibrosis,c08.381.765.500
pulmonary veno-occlusive disease,c08.381.780
"respiratory distress syndrome, adult",c08.381.840
"respiratory distress syndrome, newborn",c08.381.842
hyaline membrane disease,c08.381.842.475
transient tachypnea of the newborn,c08.381.842.737
scimitar syndrome,c08.381.844
solitary pulmonary nodule,c08.381.884
"tuberculosis, pulmonary",c08.381.922
silicotuberculosis,c08.381.922.669
nose diseases,c08.460
choanal atresia,c08.460.171
epistaxis,c08.460.261
"granuloma, lethal midline",c08.460.393
nasal obstruction,c08.460.525
nasal polyps,c08.460.572
nasal septal perforation,c08.460.595
"nose deformities, acquired",c08.460.619
nose neoplasms,c08.460.669
paranasal sinus neoplasms,c08.460.669.693
maxillary sinus neoplasms,c08.460.669.693.575
paranasal sinus diseases,c08.460.692
paranasal sinus neoplasms,c08.460.692.503
maxillary sinus neoplasms,c08.460.692.503.503
sinusitis,c08.460.692.752
ethmoid sinusitis,c08.460.692.752.267
frontal sinusitis,c08.460.692.752.387
maxillary sinusitis,c08.460.692.752.578
sphenoid sinusitis,c08.460.692.752.827
rhinitis,c08.460.799
"rhinitis, allergic",c08.460.799.315
"rhinitis, allergic, perennial",c08.460.799.315.500
"rhinitis, allergic, seasonal",c08.460.799.315.750
"rhinitis, atrophic",c08.460.799.649
"rhinitis, vasomotor",c08.460.799.910
rhinoscleroma,c08.460.850
pleural diseases,c08.528
chylothorax,c08.528.142
"empyema, pleural",c08.528.240
"empyema, tuberculous",c08.528.240.320
hemopneumothorax,c08.528.338
hemothorax,c08.528.380
hydropneumothorax,c08.528.434
hydrothorax,c08.528.476
pleural effusion,c08.528.652
"pleural effusion, malignant",c08.528.652.700
pleural neoplasms,c08.528.694
"pleural effusion, malignant",c08.528.694.700
pleurisy,c08.528.735
pleuropneumonia,c08.528.735.473
pneumothorax,c08.528.778
"tuberculosis, pleural",c08.528.928
"empyema, tuberculous",c08.528.928.405
respiration disorders,c08.618
acute chest syndrome,c08.618.009
altitude sickness,c08.618.020
apnea,c08.618.085
sleep apnea syndromes,c08.618.085.852
"sleep apnea, central",c08.618.085.852.800
"sleep apnea, obstructive",c08.618.085.852.850
obesity hypoventilation syndrome,c08.618.085.852.850.500
cheyne-stokes respiration,c08.618.182
cough,c08.618.248
dyspnea,c08.618.326
"dyspnea, paroxysmal",c08.618.326.396
hoarseness,c08.618.490
lipoid proteinosis of urbach and wiethe,c08.618.490.500
hyperventilation,c08.618.501
"alkalosis, respiratory",c08.618.501.271
meconium aspiration syndrome,c08.618.580
mouth breathing,c08.618.659
respiratory aspiration,c08.618.749
respiratory aspiration of gastric contents,c08.618.749.500
"respiratory distress syndrome, adult",c08.618.840
"respiratory distress syndrome, newborn",c08.618.842
hyaline membrane disease,c08.618.842.475
transient tachypnea of the newborn,c08.618.842.737
respiratory insufficiency,c08.618.846
"acidosis, respiratory",c08.618.846.093
airway obstruction,c08.618.846.185
nasal obstruction,c08.618.846.185.525
"granuloma, laryngeal",c08.618.846.414
hantavirus pulmonary syndrome,c08.618.846.450
hypoventilation,c08.618.846.565
obesity hypoventilation syndrome,c08.618.846.565.500
infantile apparent life-threatening event,c08.618.846.600
"positive-pressure respiration, intrinsic",c08.618.846.688
respiratory paralysis,c08.618.846.812
sarcoglycanopathies,c08.618.923
tachypnea,c08.618.961
transient tachypnea of the newborn,c08.618.961.500
vocal cord dysfunction,c08.618.980
laryngismus,c08.618.980.500
respiratory hypersensitivity,c08.674
"alveolitis, extrinsic allergic",c08.674.055
bird fancier's lung,c08.674.055.125
farmer's lung,c08.674.055.365
trichosporonosis,c08.674.055.682
"aspergillosis, allergic bronchopulmonary",c08.674.060
asthma,c08.674.095
"asthma, aspirin-induced",c08.674.095.054
"asthma, exercise-induced",c08.674.095.110
"asthma, occupational",c08.674.095.495
status asthmaticus,c08.674.095.880
"rhinitis, allergic",c08.674.453
"rhinitis, allergic, perennial",c08.674.453.500
"rhinitis, allergic, seasonal",c08.674.453.750
respiratory system abnormalities,c08.695
bronchogenic cyst,c08.695.195
bronchopulmonary sequestration,c08.695.214
choanal atresia,c08.695.271
"cystic adenomatoid malformation of lung, congenital",c08.695.290
kartagener syndrome,c08.695.501
laryngocele,c08.695.520
scimitar syndrome,c08.695.815
tracheobronchomegaly,c08.695.830
respiratory tract fistula,c08.702
bronchial fistula,c08.702.196
tracheoesophageal fistula,c08.702.750
respiratory tract infections,c08.730
bovine respiratory disease complex,c08.730.085
"pasteurellosis, pneumonic",c08.730.085.600
"pneumonia of calves, enzootic",c08.730.085.630
"pneumonia, atypical interstitial, of cattle",c08.730.085.660
bronchitis,c08.730.099
bronchiolitis,c08.730.099.135
"bronchiolitis, viral",c08.730.099.135.321
"bronchitis, chronic",c08.730.099.567
common cold,c08.730.162
"empyema, pleural",c08.730.265
"empyema, tuberculous",c08.730.265.320
"influenza, human",c08.730.310
laryngitis,c08.730.368
legionellosis,c08.730.382
legionnaires' disease,c08.730.382.380
lung abscess,c08.730.407
"lung diseases, fungal",c08.730.435
"aspergillosis, allergic bronchopulmonary",c08.730.435.090
blastomycosis,c08.730.435.395
"pneumonia, pneumocystis",c08.730.435.700
"lung diseases, parasitic",c08.730.450
"echinococcosis, pulmonary",c08.730.450.314
pharyngitis,c08.730.561
nasopharyngitis,c08.730.561.500
retropharyngeal abscess,c08.730.561.625
tonsillitis,c08.730.561.750
peritonsillar abscess,c08.730.561.750.500
pleurisy,c08.730.582
pleuropneumonia,c08.730.582.473
pneumonia,c08.730.610
bronchopneumonia,c08.730.610.127
healthcare-associated pneumonia,c08.730.610.300
pleuropneumonia,c08.730.610.473
"pneumonia, aspiration",c08.730.610.529
"pneumonia, lipid",c08.730.610.529.612
"pneumonia, bacterial",c08.730.610.540
chlamydial pneumonia,c08.730.610.540.249
"pneumonia of calves, enzootic",c08.730.610.540.530
"pneumonia of swine, mycoplasmal",c08.730.610.540.540
"pneumonia, mycoplasma",c08.730.610.540.545
"pneumonia, pneumococcal",c08.730.610.540.550
"pneumonia, rickettsial",c08.730.610.540.600
"pneumonia, staphylococcal",c08.730.610.540.620
"pneumonia, necrotizing",c08.730.610.608
"pneumonia, pneumocystis",c08.730.610.675
"pneumonia, ventilator-associated",c08.730.610.750
"pneumonia, viral",c08.730.610.763
rhinitis,c08.730.674
rhinoscleroma,c08.730.702
severe acute respiratory syndrome,c08.730.730
sinusitis,c08.730.749
ethmoid sinusitis,c08.730.749.267
frontal sinusitis,c08.730.749.387
maxillary sinusitis,c08.730.749.578
sphenoid sinusitis,c08.730.749.827
supraglottitis,c08.730.798
epiglottitis,c08.730.798.200
tracheitis,c08.730.848
"tuberculosis, laryngeal",c08.730.860
"tuberculosis, pleural",c08.730.912
"empyema, tuberculous",c08.730.912.405
"tuberculosis, pulmonary",c08.730.939
silicotuberculosis,c08.730.939.669
whooping cough,c08.730.969
respiratory tract neoplasms,c08.785
laryngeal neoplasms,c08.785.481
lung neoplasms,c08.785.520
bronchial neoplasms,c08.785.520.100
"carcinoma, bronchogenic",c08.785.520.100.220
"carcinoma, non-small-cell lung",c08.785.520.100.220.500
small cell lung carcinoma,c08.785.520.100.220.750
multiple pulmonary nodules,c08.785.520.148
pancoast syndrome,c08.785.520.734
pulmonary sclerosing hemangioma,c08.785.520.867
nose neoplasms,c08.785.600
paranasal sinus neoplasms,c08.785.600.693
maxillary sinus neoplasms,c08.785.600.693.575
pleural neoplasms,c08.785.640
"pleural effusion, malignant",c08.785.640.700
tracheal neoplasms,c08.785.760
thoracic diseases,c08.846
mediastinal diseases,c08.846.187
mediastinal cyst,c08.846.187.145
mediastinal emphysema,c08.846.187.290
mediastinal neoplasms,c08.846.187.580
mediastinitis,c08.846.187.790
tracheal diseases,c08.907
tracheal neoplasms,c08.907.563
tracheal stenosis,c08.907.663
tracheitis,c08.907.763
tracheobronchomalacia,c08.907.796
tracheomalacia,c08.907.796.500
tracheobronchomegaly,c08.907.830
tracheoesophageal fistula,c08.907.863
otorhinolaryngologic diseases,c09
ciliary motility disorders,c09.150
kartagener syndrome,c09.150.531
ear diseases,c09.218
"cholesteatoma, middle ear",c09.218.200
congenital microtia,c09.218.235
"ear deformities, acquired",c09.218.271
ear neoplasms,c09.218.334
earache,c09.218.350
hearing disorders,c09.218.458
hearing loss,c09.218.458.341
deafness,c09.218.458.341.186
deaf-blind disorders,c09.218.458.341.186.500
usher syndromes,c09.218.458.341.186.500.500
wolfram syndrome,c09.218.458.341.186.500.750
"hearing loss, bilateral",c09.218.458.341.374
"hearing loss, conductive",c09.218.458.341.562
"hearing loss, functional",c09.218.458.341.750
"hearing loss, high-frequency",c09.218.458.341.812
"hearing loss, mixed conductive-sensorineural",c09.218.458.341.849
"hearing loss, sensorineural",c09.218.458.341.887
"hearing loss, central",c09.218.458.341.887.432
"hearing loss, noise-induced",c09.218.458.341.887.460
presbycusis,c09.218.458.341.887.772
usher syndromes,c09.218.458.341.887.886
"hearing loss, sudden",c09.218.458.341.900
"hearing loss, unilateral",c09.218.458.341.950
hyperacusis,c09.218.458.505
tinnitus,c09.218.458.670
herpes zoster oticus,c09.218.513
labyrinth diseases,c09.218.568
cochlear diseases,c09.218.568.120
endolymphatic hydrops,c09.218.568.217
meniere disease,c09.218.568.217.500
labyrinthitis,c09.218.568.558
vestibular diseases,c09.218.568.900
bilateral vestibulopathy,c09.218.568.900.442
vertigo,c09.218.568.900.883
benign paroxysmal positional vertigo,c09.218.568.900.883.500
myringosclerosis,c09.218.636
otitis,c09.218.705
labyrinthitis,c09.218.705.371
otitis externa,c09.218.705.496
otitis media,c09.218.705.663
mastoiditis,c09.218.705.663.652
otitis media with effusion,c09.218.705.663.670
"otitis media, suppurative",c09.218.705.663.680
petrositis,c09.218.705.663.841
otomycosis,c09.218.736
otosclerosis,c09.218.768
retrocochlear diseases,c09.218.807
"auditory diseases, central",c09.218.807.186
auditory perceptual disorders,c09.218.807.186.094
"hearing loss, central",c09.218.807.186.432
vestibulocochlear nerve diseases,c09.218.807.800
"neuroma, acoustic",c09.218.807.800.675
neurofibromatosis 2,c09.218.807.800.675.500
vestibular neuronitis,c09.218.807.800.837
vestibulocochlear nerve injuries,c09.218.807.800.918
susac syndrome,c09.218.855
tympanic membrane perforation,c09.218.903
laryngeal diseases,c09.400
"granuloma, laryngeal",c09.400.232
laryngeal edema,c09.400.313
laryngeal neoplasms,c09.400.369
laryngeal nerve injuries,c09.400.424
recurrent laryngeal nerve injuries,c09.400.424.500
laryngitis,c09.400.535
croup,c09.400.535.365
laryngocele,c09.400.549
laryngomalacia,c09.400.563
laryngostenosis,c09.400.591
supraglottitis,c09.400.840
"tuberculosis, laryngeal",c09.400.860
vocal cord dysfunction,c09.400.895
laryngismus,c09.400.895.500
vocal cord paralysis,c09.400.931
voice disorders,c09.400.940
aphonia,c09.400.940.160
dysphonia,c09.400.940.325
hoarseness,c09.400.940.490
nose diseases,c09.603
choanal atresia,c09.603.171
epistaxis,c09.603.261
"granuloma, lethal midline",c09.603.393
nasal obstruction,c09.603.525
nasal polyps,c09.603.557
nasal septal perforation,c09.603.588
"nose deformities, acquired",c09.603.619
nose neoplasms,c09.603.669
paranasal sinus neoplasms,c09.603.669.693
maxillary sinus neoplasms,c09.603.669.693.575
paranasal sinus diseases,c09.603.692
paranasal sinus neoplasms,c09.603.692.503
maxillary sinus neoplasms,c09.603.692.503.503
sinusitis,c09.603.692.752
ethmoid sinusitis,c09.603.692.752.267
frontal sinusitis,c09.603.692.752.387
maxillary sinusitis,c09.603.692.752.578
sphenoid sinusitis,c09.603.692.752.827
rhinitis,c09.603.799
"rhinitis, allergic",c09.603.799.315
"rhinitis, allergic, perennial",c09.603.799.315.500
"rhinitis, allergic, seasonal",c09.603.799.315.750
"rhinitis, atrophic",c09.603.799.649
"rhinitis, vasomotor",c09.603.799.910
rhinoscleroma,c09.603.850
otorhinolaryngologic neoplasms,c09.647
ear neoplasms,c09.647.312
laryngeal neoplasms,c09.647.481
"neuroma, acoustic",c09.647.675
neurofibromatosis 2,c09.647.675.500
nose neoplasms,c09.647.685
paranasal sinus neoplasms,c09.647.685.693
maxillary sinus neoplasms,c09.647.685.693.575
pharyngeal neoplasms,c09.647.710
hypopharyngeal neoplasms,c09.647.710.485
nasopharyngeal neoplasms,c09.647.710.650
nasopharyngeal carcinoma,c09.647.710.650.500
oropharyngeal neoplasms,c09.647.710.685
tonsillar neoplasms,c09.647.710.685.800
pharyngeal diseases,c09.775
deglutition disorders,c09.775.174
lemierre syndrome,c09.775.262
nasopharyngeal diseases,c09.775.350
nasopharyngeal neoplasms,c09.775.350.650
nasopharyngeal carcinoma,c09.775.350.650.500
nasopharyngitis,c09.775.350.700
pharyngeal neoplasms,c09.775.549
hypopharyngeal neoplasms,c09.775.549.485
nasopharyngeal neoplasms,c09.775.549.650
nasopharyngeal carcinoma,c09.775.549.650.500
oropharyngeal neoplasms,c09.775.549.685
tonsillar neoplasms,c09.775.549.685.800
pharyngitis,c09.775.649
nasopharyngitis,c09.775.649.500
retropharyngeal abscess,c09.775.649.625
tonsillitis,c09.775.649.750
peritonsillar abscess,c09.775.649.750.500
velopharyngeal insufficiency,c09.775.955
nervous system diseases,c10
autoimmune diseases of the nervous system,c10.114
"demyelinating autoimmune diseases, cns",c10.114.375
diffuse cerebral sclerosis of schilder,c10.114.375.112
"encephalomyelitis, acute disseminated",c10.114.375.225
"leukoencephalitis, acute hemorrhagic",c10.114.375.225.500
"leukoencephalitis, acute hemorrhagic",c10.114.375.362
multiple sclerosis,c10.114.375.500
"multiple sclerosis, chronic progressive",c10.114.375.500.200
"multiple sclerosis, relapsing-remitting",c10.114.375.500.600
"myelitis, transverse",c10.114.375.600
neuromyelitis optica,c10.114.375.600.500
neuromyelitis optica,c10.114.375.800
lambert-eaton myasthenic syndrome,c10.114.468
myasthenia gravis,c10.114.656
"myasthenia gravis, autoimmune, experimental",c10.114.656.300
"myasthenia gravis, neonatal",c10.114.656.650
"nervous system autoimmune disease, experimental",c10.114.703
"encephalomyelitis, autoimmune, experimental",c10.114.703.300
"myasthenia gravis, autoimmune, experimental",c10.114.703.350
"neuritis, autoimmune, experimental",c10.114.703.700
polyradiculoneuropathy,c10.114.750
guillain-barre syndrome,c10.114.750.100
miller fisher syndrome,c10.114.750.100.500
"polyradiculoneuropathy, chronic inflammatory demyelinating",c10.114.750.175
stiff-person syndrome,c10.114.812
uveomeningoencephalitic syndrome,c10.114.843
"vasculitis, central nervous system",c10.114.875
"aids arteritis, central nervous system",c10.114.875.175
giant cell arteritis,c10.114.875.700
"lupus vasculitis, central nervous system",c10.114.875.850
autonomic nervous system diseases,c10.177
adie syndrome,c10.177.045
autonomic dysreflexia,c10.177.090
complex regional pain syndromes,c10.177.195
causalgia,c10.177.195.200
reflex sympathetic dystrophy,c10.177.195.800
horner syndrome,c10.177.350
primary dysautonomias,c10.177.575
"dysautonomia, familial",c10.177.575.300
multiple system atrophy,c10.177.575.550
olivopontocerebellar atrophies,c10.177.575.550.375
shy-drager syndrome,c10.177.575.550.750
striatonigral degeneration,c10.177.575.550.875
orthostatic intolerance,c10.177.575.600
"hypotension, orthostatic",c10.177.575.600.450
post-exercise hypotension,c10.177.575.600.537
postural orthostatic tachycardia syndrome,c10.177.575.600.625
"syncope, vasovagal",c10.177.575.600.800
pure autonomic failure,c10.177.575.650
"sweating, gustatory",c10.177.825
central nervous system diseases,c10.228
brain diseases,c10.228.140
acute febrile encephalopathy,c10.228.140.021
akinetic mutism,c10.228.140.042
amblyopia,c10.228.140.055
"amnesia, transient global",c10.228.140.060
"auditory diseases, central",c10.228.140.068
auditory perceptual disorders,c10.228.140.068.094
"hearing loss, central",c10.228.140.068.432
basal ganglia diseases,c10.228.140.079
basal ganglia cerebrovascular disease,c10.228.140.079.127
basal ganglia hemorrhage,c10.228.140.079.127.500
putaminal hemorrhage,c10.228.140.079.127.500.500
chorea gravidarum,c10.228.140.079.294
dystonia musculorum deformans,c10.228.140.079.357
hepatolenticular degeneration,c10.228.140.079.493
huntington disease,c10.228.140.079.545
meige syndrome,c10.228.140.079.590
multiple system atrophy,c10.228.140.079.612
olivopontocerebellar atrophies,c10.228.140.079.612.600
shy-drager syndrome,c10.228.140.079.612.700
striatonigral degeneration,c10.228.140.079.612.800
neuroleptic malignant syndrome,c10.228.140.079.737
pantothenate kinase-associated neurodegeneration,c10.228.140.079.800
parkinsonian disorders,c10.228.140.079.862
lewy body disease,c10.228.140.079.862.400
parkinson disease,c10.228.140.079.862.500
"parkinson disease, secondary",c10.228.140.079.862.800
mptp poisoning,c10.228.140.079.862.800.300
"parkinson disease, postencephalitic",c10.228.140.079.862.800.600
"supranuclear palsy, progressive",c10.228.140.079.882
tourette syndrome,c10.228.140.079.898
brain abscess,c10.228.140.116
"toxoplasmosis, cerebral",c10.228.140.116.800
"brain damage, chronic",c10.228.140.140
"brain injury, chronic",c10.228.140.140.127
cerebral palsy,c10.228.140.140.254
persistent vegetative state,c10.228.140.140.627
brain death,c10.228.140.151
"brain diseases, metabolic",c10.228.140.163
"brain diseases, metabolic, inborn",c10.228.140.163.100
adrenoleukodystrophy,c10.228.140.163.100.084
"cerebral amyloid angiopathy, familial",c10.228.140.163.100.168
galactosemias,c10.228.140.163.100.320
hartnup disease,c10.228.140.163.100.355
