hsa-mir-1290,frailty
hsa-mir-4423,growth disorders
hsa-mir-4466,non-alcoholic fatty liver disease
hsa-mir-599,"carcinoma, nasopharyngeal"
hsa-mir-512-2,"thyroid carcinoma, anaplastic"
hsa-mir-3131,"lupus erythematosus, systemic"
hsa-mir-518c,"leukoplakia, oral"
hsa-mir-211,"sarcoidosis, pulmonary"
hsa-mir-4649,"neuralgia, postherpetic"
hsa-mir-345,autism spectrum disorder
hsa-mir-3131,"carcinoma, colon"
hsa-mir-550a-1,multiple system atrophy
hsa-mir-2113,retinitis pigmentosa
hsa-mir-10a,azoospermia
hsa-mir-1227,"hepatitis b, chronic"
hsa-mir-147a,pten hamartoma tumor tyndrome
hsa-mir-5003,white spot syndrome virus 1
hsa-mir-301b,"leukemia, lymphoblastic, acute, b-cell"
hsa-mir-1297,emphysema
hsa-mir-4695,thrombocytosis
hsa-mir-302d,amyloidosis
hsa-mir-136,endomyocardial fibrosis
hsa-mir-766,"carcinoma, ovarian, serous"
hsa-mir-651,inner ear inflammation
hsa-mir-4436b-1,coronavirus infections
hsa-mir-513c,pelvic organ prolapse
hsa-mir-4487,neurotoxicity syndromes
hsa-mir-339,"carcinoma, non-small-cell lung"
hsa-mir-6069,osteopetrosis
hsa-mir-147a,idiopathic short stature
hsa-mir-518e,"leukemia, myeloid, chronic-phase"
hsa-mir-1246,"leukoplakia, oral"
hsa-mir-7706,obesity
hsa-mir-1229,"child development disorders, pervasive"
hsa-mir-524,hemangiosarcoma
hsa-mir-4500,peripheral vascular diseases
hsa-mir-455,"carcinoma, nasopharyngeal"
hsa-mir-301a,nervous system diseases
hsa-mir-3135b,"neuralgia, postherpetic"
hsa-mir-1302-3,"carcinoma, pancreatic"
hsa-mir-507,head and neck neoplasms
hsa-mir-2355,nephrosclerosis
hsa-mir-5692b,pediatric osteosarcoma
hsa-mir-4436b-1,vulvar squamous cell carcinoma
hsa-mir-647,oligodendroglioma
hsa-mir-92b,amyloidosis
hsa-mir-5009,graves ophthalmopathy
hsa-mir-4521,eosinophilic esophagitis
hsa-mir-196a-2,chlamydia infections
hsa-mir-188,bronchopneumonia
hsa-mir-520e,seizures
hsa-mir-24-2,triple negative breast neoplasms
hsa-mir-548an,hidradenitis suppurativa
hsa-mir-615,"squamous cell carcinoma, lung"
hsa-mir-502,"lymphoma, b-cell"
hsa-mir-375,pulmonary fibrosis
hsa-mir-33a,uterine carcinosarcoma
hsa-mir-214,non-sensory diseases
hsa-mir-767,hyperhomocysteinemia
hsa-mir-92a-2,machado-joseph disease
hsa-mir-2861,fragile x syndrome
hsa-mir-100,narcolepsy
hsa-mir-451a,"fatigue syndrome, chronic"
hsa-mir-127,brucellosis
hsa-mir-3177,oral submucous fibrosis
hsa-mir-372,triple negative breast neoplasms
hsa-mir-551a,"carcinoma, adenoid cystic"
hsa-mir-185,"muscular dystrophy, facioscapulohumeral"
hsa-mir-190b,pain
hsa-mir-1302-8,hepatoblastoma
hsa-mir-411,autoimmune diseases
hsa-mir-576,cardiomyopathies
hsa-mir-585,periodontal diseases
hsa-mir-30e,endocardial cushion defects
hsa-mir-4742,hiv-associated lipodystrophy syndrome
hsa-mir-1265,glioma
hsa-mir-1227,"squamous cell carcinoma, head and neck"
hsa-mir-564,salivary gland neoplasms
hsa-mir-664a,mouth neoplasms
hsa-mir-613,carcinosarcoma
hsa-mir-20a,neutropenia
hsa-mir-151a,"thyroiditis, autoimmune"
hsa-mir-150,mitochondrial diseases
hsa-mir-297,"lymphoma, mantle-cell"
hsa-mir-135a-2,papillomaviridae
hsa-mir-320d-2,tibial meniscus injuries
hsa-mir-1178,musculoskeletal abnormalities
hsa-mir-1305,infection
hsa-mir-9-1,"glomerulosclerosis, focal segmental"
hsa-mir-3667,myocarditis
hsa-mir-3611,thymoma
hsa-mir-617,fragile x syndrome
hsa-mir-4530,alzheimer disease
hsa-mir-4633,oral submucous fibrosis
hsa-mir-622,congenital deafness
hsa-mir-512-1,liposarcoma
hsa-mir-1286,hirschsprung disease
hsa-mir-3186,lung diseases
hsa-mir-1226,cognitive dysfunction
hsa-mir-637,"leukemia, lymphoblastic, acute, b-cell"
hsa-mir-4454,small cell lung carcinoma
hsa-mir-4449,follicular atresia
hsa-mir-1225,"sarcoma, endometrial stromal"
hsa-mir-4294,"leukemia, b-cell"
hsa-mir-770,coronary artery disease
hsa-mir-1245b,"lymphoma, mantle-cell"
hsa-mir-3179-3,multiple endocrine neoplasia type 1
hsa-mir-302f,aortic aneurysm
hsa-mir-30e,"lymphoma, follicular"
hsa-mir-506,"hepatitis b, chronic"
hsa-mir-7107,osteopetrosis
hsa-mir-1224,"leishmaniasis, visceral"
hsa-mir-4531,non-sensory diseases
hsa-mir-3163,"muscular atrophy, spinal"
hsa-mir-1261,cardiometabolic disorders
hsa-mir-6852,hemangioma
hsa-mir-548an,chemical and drug induced liver injury
hsa-mir-4281,"child development disorders, pervasive"
hsa-mir-188,early-stage colon carcinoma
hsa-mir-1294,carotid artery diseases
hsa-mir-552,acute coronary syndrome
hsa-let-7i,"hepatitis c, chronic"
hsa-mir-154,"carcinoma, pancreatic ductal"
hsa-mir-516b-1,"squamous cell carcinoma, oral"
hsa-mir-320b-1,charcot-marie-tooth disease
hsa-mir-6721,"lymphoma, t-cell"
hsa-mir-149,pten hamartoma tumor tyndrome
hsa-mir-491,"hypoxia-ischemia, brain"
hsa-mir-550b-2,hearing loss
hsa-mir-4775,head and neck neoplasms
hsa-mir-1268a,salmonella infections
hsa-mir-875,colorectal adenocarcinoma
hsa-mir-934,arthritis
hsa-mir-3126,"adenocarcinoma, ampullary"
hsa-mir-4778,graves disease
hsa-mir-661,peripheral vascular diseases
hsa-mir-181b-2,cognitive dysfunction
hsa-mir-3613,"squamous cell carcinoma, lung"
hsa-mir-134,uterine corpus serous adenocarcinoma
hsa-mir-320b-1,"respiratory distress syndrome, adult"
hsa-mir-4672,hemangiosarcoma
hsa-mir-181d,peritoneal dialysis failure
hsa-mir-143,respiratory system disease
hsa-mir-130b,digestive system neoplasms
hsa-mir-3195,"glomerulonephritis, iga"
hsa-mir-409,heart valve diseases
hsa-mir-382,"carcinoma, gastrooesophageal"
hsa-mir-3176,"leukemia, acute"
hsa-mir-1302-2,li-fraumeni syndrome
hsa-mir-1972-1,enterovirus infections
hsa-mir-6729,b-cell childhood acute lymphoblastic leukemia
hsa-mir-192,diabetic angiopathies
hsa-mir-4709,peritoneal neoplasms
hsa-mir-135a-2,"carcinoma, basal cell"
hsa-mir-4723,reproductive system disease
hsa-mir-1245a,"pulmonary disease, chronic obstructive"
hsa-mir-526a-1,renal fibrosis
hsa-mir-136,"diabetes mellitus, type 1"
hsa-mir-3654,neuroendocrine tumors
hsa-mir-512-2,"leukemia, myeloid, chronic-phase"
hsa-mir-642a,peripheral vascular diseases
hsa-mir-550a-1,spondylarthritis
hsa-let-7i,thrombocytopenia
hsa-mir-3144,gastrointestinal stromal tumors
hsa-mir-128-2,sciatic nerve injury
hsa-mir-1284,"arthritis, rheumatoid"
hsa-mir-517c,chagas disease
hsa-mir-610,early-stage cervical squamous cell carcinoma
hsa-mir-130b,"cardiomyopathy, ischemic"
hsa-mir-1302-7,"sarcoma, ewing"
hsa-mir-4449,"hepatitis c, chronic"
hsa-mir-376a-1,"liver cirrhosis, biliary"
hsa-mir-1185-1,allergic asthma
hsa-mir-6124,nervous system diseases
hsa-mir-509-2,"leprosy, lepromatous"
hsa-mir-124-1,immunologic deficiency syndromes
hsa-mir-518a-1,pregnancy complications
hsa-mir-1269b,long qt syndrome
hsa-mir-586,ovarian neoplasms
hsa-mir-761,endocrine gland neoplasms
hsa-mir-4701,myopia
hsa-mir-520b,diabetic retinopathy
hsa-mir-381,"carcinoma, ductal"
hsa-mir-527,non-alcoholic fatty liver disease
hsa-mir-512-2,keloid
hsa-mir-588,leiomyoma
hsa-mir-30d,cystic fibrosis
hsa-mir-423,"colorectal neoplasms, hereditary nonpolyposis"
hsa-mir-589,embryonal testis carcinoma
hsa-mir-484,"neoplasms, germ cell and embryonal"
hsa-mir-423,"fatigue syndrome, chronic"
hsa-mir-5091,methylmalonic acidemia
hsa-mir-509-3,"hypertension, pulmonary"
hsa-mir-1914,hemoglobin sc disease
hsa-mir-3126,rectum adenocarcinoma
hsa-mir-1260b,osteonecrosis
hsa-mir-487a,liver transplant rejection
hsa-mir-6075,uterine leiomyosarcoma
hsa-mir-423,diabetic angiopathies
hsa-mir-3161,vascular hypertrophy
hsa-mir-4448,autoimmune diseases
hsa-mir-363,congenital deafness
hsa-mir-3622a,cone dystrophy
hsa-mir-3658,"cardiomyopathy, alcoholic"
hsa-mir-650,"scleroderma, systemic"
hsa-mir-3201,"diabetes mellitus, type 1"
hsa-mir-1236,"carcinoma, endometrioid"
hsa-mir-376a-2,cognitive dysfunction
hsa-mir-511,"carcinoma, ovarian, serous"
hsa-mir-4500,creutzfeldt-jakob syndrome
hsa-mir-664a,reproductive system disease
hsa-mir-574,acute lung injury
hsa-mir-943,"hernia, diaphragmatic"
hsa-mir-625,biliary tract neoplasms
hsa-mir-3620,biliary tract neoplasms
hsa-mir-186,intracranial aneurysm
hsa-mir-1297,cardiac fibrosis
hsa-mir-217,subarachnoid hemorrhage
hsa-mir-329-2,hemoglobin sc disease
hsa-mir-4480,"neoplasms, germ cell and embryonal"
hsa-mir-3610,tongue neoplasms
hsa-mir-1225,precursor b-cell lymphoblastic leukemia-lymphoma
hsa-mir-223,"carcinoma, ductal"
hsa-mir-6836,"carcinoma, renal cell"
hsa-mir-520a,osteoporosis
hsa-mir-514a-1,early-stage lung carcinoma
hsa-mir-3619,cerebral cavernous malformations
hsa-mir-16-2,"leukemia, erythroblastic, acute"
hsa-mir-4793,rhabdomyosarcoma
hsa-mir-4487,"sarcoma, endometrial stromal"
hsa-mir-581,vasculitis
hsa-mir-378a,early-stage lung adenocarcinoma
hsa-mir-873,barrett esophagus
hsa-mir-196b,proliferative diabetic retinopathy
hsa-mir-363,non-neoplastic diseases
hsa-mir-4274,testicular neoplasms
hsa-mir-218-1,"helplessness, learned"
hsa-mir-222,"leukemia, megakaryoblastic, acute"
hsa-mir-548q,"malaria, falciparum"
hsa-mir-4778,"ischemic attack, transient"
hsa-mir-766,peritoneal fibrosis
hsa-mir-412,macular degeneration
hsa-mir-382,"squamous cell carcinoma, head and neck"
hsa-mir-1972-1,mycosis fungoides
hsa-mir-3170,urinary bladder neck obstruction
hsa-mir-512-2,"muscular dystrophy, facioscapulohumeral"
hsa-mir-101-1,primary myelofibrosis
hsa-mir-449c,asthenozoospermia
hsa-mir-126,early-stage cervical squamous cell carcinoma
hsa-mir-1284,pediatric ependymoma
hsa-mir-1277,primary ovarian insufficiency
hsa-mir-375,ovarian germ cell cancer
hsa-mir-1843,uterine leiomyosarcoma
hsa-mir-376a-1,giant cell tumor of bone
hsa-mir-4423,peri-implantitis
hsa-mir-1180,"lung diseases, interstitial"
hsa-mir-506,brain ischemia
hsa-mir-548a-1,barrett esophagus
hsa-mir-101-2,liver diseases
hsa-mir-939,mitochondrial diseases
hsa-mir-4476,hemoglobinopathies
hsa-mir-5584,thrombocytosis
hsa-mir-495,neuroinflammation
hsa-mir-643,frontotemporal lobar degeneration
hsa-mir-1302-7,bone neoplasms
hsa-mir-135a-1,paratuberculosis
hsa-mir-34a,graves ophthalmopathy
hsa-mir-3147,thyroid neoplasms
hsa-mir-1304,peritoneal dialysis failure
hsa-mir-649,pterygium
hsa-mir-1976,myositis ossificans
hsa-mir-99a,oligodendroglioma
hsa-mir-648,"systemic lupus erythematosus, with pericarditis"
hsa-mir-568,"squamous cell carcinoma, cerevial"
hsa-mir-199a-1,multiple myeloma
hsa-mir-1297,familial mediterranean fever
hsa-mir-499a,"leukemia, acute"
hsa-mir-191,gallstones
hsa-mir-372,multiple sulfatase deficiency disease
hsa-mir-92a-1,colon adenoma
hsa-mir-92a-1,vulvar neoplasms
hsa-mir-452,vulvar neoplasms
hsa-mir-1227,"carcinoma, neuroendocrine"
hsa-mir-148a,"shock, septic"
hsa-mir-3074,meningitis
hsa-mir-1234,myocardial reperfusion injury
hsa-mir-1245a,"telangiectasia, hereditary hemorrhagic"
hsa-mir-1273c,rhinosinusitis
hsa-mir-514a-2,salivary gland disease
hsa-mir-492,celiac disease
hsa-mir-198,parkinson disease
hsa-let-7f-2,"adenocarcinoma, sebaceous"
hsa-mir-4436b-1,charcot-marie-tooth disease
hsa-mir-4455,glaucoma
hsa-mir-1910,ovarian neoplasms
hsa-mir-668,costello syndrome
hsa-mir-675,"muscular atrophy, spinal"
hsa-mir-3928,uterine leiomyosarcoma
hsa-mir-1256,phyllodes tumor
hsa-mir-618,kidney osteogenic sarcoma
hsa-mir-3186,peritoneal dialysis failure
hsa-mir-99a,spinal cord injuries
hsa-mir-545,narcolepsy
hsa-mir-7705,non-syndromic orofacial clefts
hsa-mir-320c-2,enterovirus infections
hsa-mir-4326,uterine cervicitis
hsa-mir-6869,marek disease
hsa-mir-873,salmonella infections
hsa-mir-629,"carcinoma, thyroid, follicular"
hsa-mir-664a,"cardiomyopathy, alcoholic"
hsa-mir-513c,migraine disorders
hsa-mir-551a,otitis media
hsa-mir-5091,non-sensory diseases
hsa-mir-621,breast adenocarcinoma
hsa-mir-550b-1,hypersensitivity
hsa-mir-541,"epilepsy, temporal lobe"
hsa-mir-3179-2,kidney diseases
hsa-mir-410,intestinal diseases
hsa-mir-570,alopecia
hsa-mir-1252,varicocele
hsa-mir-340,hypertension
hsa-mir-514a-3,"leukoplakia, oral"
hsa-mir-139,urinary bladder neck obstruction
hsa-mir-92b,early-stage colon adenocarcinoma
hsa-mir-7-1,"cystitis, interstitial"
hsa-mir-187,hepatic veno-occlusive disease
hsa-mir-646,biliary atresia
hsa-mir-6086,brain neoplasms
hsa-mir-185,varicocele
hsa-mir-625,"anemia, aplastic"
hsa-mir-1285-1,fragile x syndrome
hsa-mir-302d,trisomy 13 syndrome
hsa-mir-574,infection
hsa-mir-98,"leukemia, biphenotypic, acute"
hsa-mir-342,ganglioglioma
hsa-mir-454,nephrosclerosis
hsa-mir-558,respiratory syncytial virus infections
hsa-mir-650,"neovascularization, pathologic"
hsa-mir-135a-1,graves disease
hsa-mir-124-1,anodontia
hsa-mir-675,fever
hsa-mir-5003,vascular diseases
hsa-mir-541,"scleroderma, systemic"
hsa-mir-3138,diabetic nephropathies
hsa-mir-1469,"lymphoma, mantle-cell"
hsa-mir-4534,"child development disorders, pervasive"
hsa-mir-7-1,wounds and injuries
hsa-mir-1299,muscular diseases
hsa-mir-636,enterovirus infections
hsa-mir-621,adrenal cortex neoplasms
hsa-mir-5699,"shock, hemorrhagic"
hsa-mir-507,bronchopulmonary dysplasia
hsa-mir-3178,generalized epilepsy with febrile seizures plus
hsa-mir-1267,"carcinoma, gingival"
hsa-mir-1231,cutaneous melanoma
hsa-mir-548q,wilms tumor
hsa-mir-658,chromosome 5q deletion syndrome
hsa-mir-378g,choriocarcinoma
hsa-mir-365b,gestational trophoblastic disease
hsa-mir-1909,"lymphoma, non-hodgkin"
hsa-mir-874,peritoneal fibrosis
hsa-mir-938,generalized epilepsy with febrile seizures plus
hsa-mir-339,"supranuclear palsy, progressive"
hsa-mir-3654,"sleep apnea, obstructive"
hsa-mir-4695,venous thromboembolism
hsa-mir-16-2,proliferative glomerulonephritis
hsa-mir-583,inflammatory bowel diseases
hsa-mir-103a-1,brain neoplasms
hsa-mir-345,behcet syndrome
hsa-mir-95,rheumatic myocarditis
hsa-mir-659,biliary atresia
hsa-mir-134,asthma
hsa-mir-6799,uremic neuropathy
hsa-mir-521-2,pain
hsa-mir-1302-1,"neoplasms, germ cell and embryonal"
hsa-mir-4324,smoke inhalation injury
hsa-mir-526a-2,cardiac fibrosis
hsa-mir-548a-1,inflammation
hsa-mir-515-2,chromosome 5q deletion syndrome
hsa-mir-501,dengue
hsa-mir-452,fibromyalgia
hsa-mir-331,"carcinoma, mucoepidermoid"
hsa-mir-922,diabetic nephropathies
hsa-mir-1299,heart valve diseases
hsa-mir-665,hirschsprung disease
hsa-mir-449c,"cystitis, interstitial"
hsa-mir-215,intracranial arteriovenous malformations
hsa-mir-329-1,neuropsychiatric disorders [unspecific]
hsa-mir-621,marek disease
hsa-mir-603,"carcinoma, skin appendage"
hsa-mir-4521,spinal stenosis
hsa-mir-3138,neuroinflammation
hsa-mir-181a-2,spinal stenosis
hsa-mir-510,graft rejection
hsa-mir-610,mitochondrial diseases
hsa-mir-543,nervous system diseases
hsa-mir-1226,thrombocytosis
hsa-mir-6721,uterine cervical neoplasms
hsa-mir-218-2,"leukemia, myeloid, acute"
hsa-mir-215,spinal cord injuries
hsa-mir-4429,pituitary neoplasms
hsa-mir-579,idiopathic short stature
hsa-mir-939,endometrial neoplasms
hsa-mir-122,ovarian germ cell cancer
hsa-mir-1343,proliferative diabetic retinopathy
hsa-mir-3714,giant cell tumor of bone
hsa-mir-335,burns
hsa-mir-5009,hyperlipidemias
hsa-mir-518e,hyperlipidemias
hsa-mir-4731,hellp syndrome
hsa-mir-636,cardiac fibrosis
hsa-mir-6875,"ectodermal dysplasia 1, anhidrotic"
hsa-mir-7-2,"hepatitis, chronic"
hsa-mir-411,"colitis, ulcerative"
hsa-mir-548ac,metabolic diseases
hsa-mir-127,"carcinoma, adenoid cystic"
hsa-mir-423,alzheimer disease
hsa-mir-422a,"leukemia, b-cell"
hsa-mir-4449,leishmaniasis
hsa-mir-4695,"adenocarcinoma, sebaceous"
hsa-mir-496,bone diseases
hsa-mir-6873,lung diseases
hsa-mir-10a,venous thromboembolism
hsa-mir-548e,"fatigue syndrome, chronic"
hsa-mir-573,intervertebral disc degeneration
hsa-mir-378e,pheochromocytoma
hsa-mir-4648,wound healing
hsa-mir-3185,"tuberculosis, pulmonary"
hsa-mir-21,"leukemia, lymphoblastic, acute, t-cell"
hsa-mir-4447,pulmonary heart disease
hsa-mir-32,diabetic foot
hsa-mir-365a,anemia
hsa-let-7c,"lymphoma, mantle-cell"
hsa-mir-449a,thymoma
hsa-mir-4756,leukemia
hsa-mir-4534,"cardiomyopathy, dilated"
hsa-mir-411,arteriosclerosis obliterans
hsa-mir-3186,"malaria, cerebral"
hsa-mir-4758,"carcinoma, renal cell, clear-cell"
hsa-mir-888,hearing disorders
hsa-mir-1260a,lymphedema
hsa-mir-4301,stroke
hsa-mir-3908,irritable bowel syndrome
hsa-mir-649,panic disorder
hsa-mir-1234,fragile x syndrome
hsa-mir-4656,pediatric glioma
hsa-mir-939,pancreatic neoplasms
hsa-mir-320c-1,"leukoplakia, oral"
hsa-mir-934,breast adenocarcinoma
hsa-mir-4455,dental enamel hypoplasia
hsa-mir-150,"lymphoma, extranodal nk-t-cell"
hsa-mir-569,"purpura, thrombocytopenic, idiopathic"
hsa-mir-485,"hepatitis, autoimmune"
hsa-mir-4639,"mastocytosis, systemic"
hsa-mir-362,arthritis
hsa-mir-1910,prostatic neoplasms
hsa-mir-361,liver diseases
hsa-mir-3654,"sarcoma, endometrial stromal"
hsa-mir-507,non-sensory diseases
hsa-mir-4465,proliferative diabetic retinopathy
hsa-mir-620,early-stage lung carcinoma
hsa-mir-4302,waldenstrom macroglobulinemia
hsa-mir-510,mouth neoplasms
hsa-mir-569,coronary artery disease
hsa-mir-1322,idiopathic short stature
hsa-mir-100,digeorge syndrome
hsa-mir-1271,hypertension
hsa-mir-487a,infection
hsa-mir-562,retinal vascular disease
hsa-mir-646,cutaneous lupus erythematosus
hsa-mir-623,"leukemia, myeloid, chronic-phase"
hsa-mir-6126,"dermatitis, atopic"
hsa-mir-34b,recurrent wheezing
hsa-mir-3620,liposarcoma
hsa-mir-200b,liver failure
hsa-mir-762,bone neoplasms
hsa-mir-939,sezary syndrome
hsa-mir-103b-1,"rhinitis, allergic, perennial"
hsa-mir-154,hemangioma
hsa-mir-523,"osteoporosis, postmenopausal"
hsa-mir-302e,rhabdoid tumor
hsa-mir-1225,odontogenic tumors
hsa-mir-1976,"diabetes mellitus, type 1"
hsa-mir-190a,pelvic inflammatory disease
hsa-mir-455,liposarcoma
hsa-mir-19b-1,small cell lung carcinoma
hsa-mir-4465,"fibromatosis, aggressive"
hsa-mir-6886,"cardiomyopathy, dilated"
hsa-mir-4736,cerebral cavernous malformations
hsa-mir-1277,aortic valve insufficiency
hsa-mir-493,hypertension
hsa-mir-1180,"small cell carcinoma, esophageal"
hsa-mir-4317,small intestine carcinoma
hsa-mir-484,"diabetes mellitus, type 1"
hsa-mir-548an,bone neoplasms
hsa-mir-561,ischemia
hsa-mir-19b-2,thyroid neoplasms
hsa-mir-514b,multiple myeloma
hsa-mir-4448,osteoporosis
hsa-mir-3161,uterine corpus endometrial carcinoma
hsa-mir-600,triple negative breast neoplasms
hsa-mir-7109,colon adenoma
hsa-mir-3179-1,hearing disorders
hsa-mir-1297,"carcinoma, merkel cell"
hsa-mir-520d,bicuspid aortic valve disease
hsa-mir-5590,cutaneous melanoma
hsa-mir-6799,hodgkin disease
hsa-mir-496,allergic asthma
hsa-mir-3171,meningitis
hsa-mir-212,silicosis
hsa-mir-512-2,"sarcoma, ewing"
hsa-mir-208a,"glomerulonephritis, iga"
hsa-mir-302b,lofgren syndrome
hsa-mir-99b,"hemorrhagic fever, ebola"
hsa-mir-664a,acute coronary syndrome
hsa-mir-5004,stevens-johnson syndrome
hsa-mir-431,"hypoxia-ischemia, brain"
hsa-mir-19b-2,"pulmonary disease, chronic obstructive"
hsa-mir-3620,immune system diseases
hsa-mir-4721,hidradenitis suppurativa
hsa-mir-1252,eosinophilic esophagitis
hsa-mir-433,acute lung injury
hsa-mir-1275,heart failure
hsa-mir-199a-1,arteriosclerosis obliterans
hsa-mir-5009,"cardiomyopathy, dilated"
hsa-mir-1180,"muscular atrophy, spinal"
hsa-mir-548b,hyperlipidemias
hsa-mir-1238,"carcinoma, hepatocellular, hbv-related"
hsa-mir-524,non specific chronic endometritis
hsa-mir-1224,light-induced retinal injury
hsa-mir-4709,frontotemporal dementia
hsa-mir-124-2,mycobacterium avium-intracellulare infection
hsa-mir-142,foot-and-mouth disease
hsa-mir-572,amyloidosis
hsa-mir-892b,"diabetes, gestational"
hsa-mir-2278,prostatic neoplasms
hsa-mir-4736,"carcinoma, signet ring cell"
hsa-mir-3682,bone diseases
hsa-mir-194-2,"leukemia, myeloid, acute"
hsa-mir-101-2,lymphedema
hsa-mir-330,"lymphoma, large b-cell, diffuse"
hsa-mir-429,waldenstrom macroglobulinemia
hsa-mir-129-2,"influenza, human"
hsa-mir-516a-2,cataract
hsa-mir-1234,"carcinoma, adenoid cystic"
hsa-mir-764,childhood leukemia
hsa-mir-4518,"osteoporosis, postmenopausal"
hsa-mir-4701,"aortic aneurysm, thoracic"
hsa-mir-1343,childhood leukemia
hsa-mir-511,osteonecrosis
hsa-mir-409,"glomerulonephritis, iga"
hsa-mir-301a,diabetic foot
hsa-mir-877,borna disease
hsa-mir-5692b,giant cell tumor of bone
hsa-mir-29b-2,"cystitis, interstitial"
hsa-mir-335,"diabetes mellitus, type 2"
hsa-mir-548k,acute coronary syndrome
hsa-mir-3135b,severe acute respiratory syndrome
hsa-mir-631,intermittent claudication
hsa-mir-3186,mycobacterium avium-intracellulare infection
hsa-mir-3620,"carcinoma, tounge"
hsa-mir-943,epilepsy
hsa-mir-6799,diarrhea
hsa-mir-203a,huntington disease
hsa-mir-9500,"cardiomyopathy, ischemic"
hsa-mir-410,"neuralgia, postherpetic"
hsa-mir-6729,"arrhythmias, cardiac"
hsa-mir-490,early-stage colon adenocarcinoma
hsa-mir-3163,hepatic ischemia-reperfusion injury
hsa-mir-3908,rheumatic heart disease
hsa-mir-512-2,inflammation
hsa-mir-33b,colitis
hsa-mir-147a,tibial meniscus injuries
hsa-mir-4488,leishmaniasis
hsa-mir-548l,fibromyalgia
hsa-mir-1261,balkan nephropathy
hsa-mir-1249,osteogenesis imperfecta
hsa-mir-570,"carcinoma, ehrlich tumor"
hsa-mir-1265,"lymphoma, mantle-cell"
hsa-mir-122,hirschsprung disease
hsa-mir-744,"lymphohistiocytosis, hemophagocytic"
hsa-mir-3176,hypogonadism
hsa-mir-675,"pulmonary disease, chronic obstructive"
hsa-mir-361,"carcinoma, hepatocellular, hcv-related"
hsa-mir-629,oral submucous fibrosis
hsa-mir-1293,"spondylitis, ankylosing"
hsa-mir-6875,peritoneal dialysis failure
hsa-mir-520d,fibrosarcoma
hsa-mir-660,ovarian diseases
hsa-mir-381,hemoglobinopathies
hsa-mir-6734,intellectual disability
hsa-mir-1245b,"hepatitis c, chronic"
hsa-mir-544b,keratitis
hsa-mir-130b,"shock, septic"
hsa-mir-3065,cataract
hsa-mir-2116,"colorectal neoplasms, hereditary nonpolyposis"
hsa-mir-617,status epilepticus
hsa-mir-765,dental enamel hypoplasia
hsa-mir-3142,neuroma
hsa-mir-181d,gastric cardia adenocarcinoma
hsa-mir-590,"anemia, sickle cell"
hsa-mir-494,odontogenic tumors
hsa-mir-377,endotoxemia
hsa-mir-4697,osteonecrosis
hsa-mir-1294,"encephalitis viruses, japanese"
hsa-mir-521-1,"carcinoma, ovarian, serous"
hsa-mir-1321,"lymphoma, b-cell"
hsa-mir-340,diabetic cardiomyopathies
hsa-mir-3126,diabetic encephalopathy
hsa-mir-645,keloid
hsa-mir-646,kidney osteogenic sarcoma
hsa-mir-378f,coronary artery disease
hsa-mir-603,polycystic ovary syndrome
hsa-mir-6721,biliary tract neoplasms
hsa-mir-892a,head and neck adenoid cystic carcinoma
hsa-mir-127,pulmonary fibrosis
hsa-mir-199a-1,musculoskeletal abnormalities
hsa-mir-335,pre-eclampsia
hsa-mir-1306,polycythemia vera
hsa-mir-4778,nasal cavity inverting papilloma
hsa-mir-518b,hepatitis c
hsa-mir-602,li-fraumeni syndrome
hsa-mir-612,ovarian neoplasms
hsa-mir-302b,fever
hsa-mir-1285-2,lofgren syndrome
hsa-mir-5582,lymphoproliferative disorders
hsa-mir-5000,"carcinoma, pancreatic"
hsa-mir-139,leishmaniasis
hsa-mir-33a,"cardiomyopathy, hypertrophic"
hsa-mir-6721,"solitary fibrous tumor, pleural"
hsa-mir-320b-2,"colorectal neoplasms, hereditary nonpolyposis"
hsa-mir-663a,melanosis
hsa-mir-155,vascular hypertrophy
hsa-mir-105-2,coronary artery disease
hsa-mir-675,periodontitis
hsa-mir-767,"lymphoma, b-cell"
hsa-mir-668,vitiligo
hsa-mir-32,epilepsy
hsa-mir-135a-1,pediatric obesity
hsa-mir-6831,pre-eclampsia
hsa-mir-362,triple negative breast neoplasms
hsa-mir-4310,x-linked alport syndrome
hsa-mir-371b,diarrhea
hsa-mir-522,"pemphigus, benign familial"
hsa-mir-885,"squamous cell carcinoma, laryngeal or hypopharyngeal"
hsa-mir-423,chromosome 15q13.3 microdeletion syndrome
hsa-mir-92a-2,brain neoplasms
hsa-mir-26b,marek disease
hsa-mir-17,idiopathic asthenospermia
hsa-mir-129-1,primary myelofibrosis
hsa-mir-3924,diabetic encephalopathy
hsa-mir-6831,neuroblastoma
hsa-mir-1269b,rectum adenocarcinoma
hsa-mir-570,bicuspid aortic valve disease
hsa-mir-3924,"carcinoma, periampullary"
hsa-mir-153-2,bile duct neoplasms
hsa-mir-3682,mouth neoplasms
hsa-mir-6775,"dermatitis, atopic"
hsa-mir-7152,diabetic peripheral neuropathy
hsa-mir-18b,"hypertension, pulmonary"
hsa-mir-297,"carcinoma, gastrooesophageal"
hsa-mir-3196,"brain injuries, traumatic"
hsa-mir-196a-1,"lipid metabolism, inborn errors"
hsa-mir-513c,huntington disease
hsa-mir-19a,"lymphoma, extranodal nk-t-cell"
hsa-mir-575,"leukemia, t-cell"
hsa-mir-4656,ependymoma
hsa-mir-614,cognitive dysfunction
